,0
0,5.0356359482
1,5.1785774231
2,5.5405859947
3,5.56889534
4,5.4170837402
5,5.5513234138
6,5.1264562607
7,5.6855015755
8,5.2192254066
9,5.481842041
10,5.3160772324
11,5.510717392
12,5.4082918167
13,5.3231058121
14,5.4404730797
15,5.4702529907
16,5.510286808
17,5.4538331032
18,5.4763379097
19,5.5166454315
20,5.5365171432
21,5.6732382774
22,5.2258110046
23,5.5806283951
24,5.3251171112
25,5.4616985321
26,5.3010420799
27,5.4967985153
28,5.4633135796
29,5.5385565758
30,5.5765385628
31,5.6178431511
32,5.2236566544
33,5.5527992249
34,5.4202842712
35,5.3076796532
36,5.5247354507
37,5.5824131966
38,5.5587673187
39,5.4675836563
40,5.5162625313
41,5.324669838
42,5.4407753944
43,5.3787603378
44,5.1701917648
45,5.364841938
46,4.9467978477
47,5.2618780136
48,5.2901272774
49,5.2277054787
50,5.2477579117
51,4.9783124924
52,5.2012686729
53,5.0650839806
54,5.2031431198
55,5.3683686256
56,5.0999140739
57,5.0052428246
58,5.1721830368
59,4.7277345657
60,5.242579937
61,5.333987236
62,4.9562606812
63,5.0250258446
64,4.9235086441
65,5.0798807144
66,5.3621196747
67,5.3144083023
68,5.4132509232
69,5.3457489014
70,5.3530778885
71,5.3274636269
72,5.475944519
73,5.1839380264
74,5.208483696
75,5.2465715408
76,5.1699461937
77,5.1983232498
78,5.3685908318
79,5.2072873116
80,5.1151490211
81,5.4596509933
82,5.1973004341
83,4.8686285019
84,5.1476173401
85,5.1712837219
86,5.2042574883
87,5.4180722237
88,5.3101568222
89,5.2702493668
90,5.2406482697
91,5.3969068527
92,5.2525892258
93,5.3381624222
94,5.4703083038
95,5.1583843231
96,5.5680894852
97,5.5323572159
98,5.3557910919
99,5.5197520256
100,5.4666895866
101,5.3756966591
102,5.2855072021
103,5.6173334122
104,5.4174380302
105,5.4560008049
106,5.0484671593
107,5.2400665283
108,5.5632185936
109,5.1507396698
110,5.219271183
111,5.438647747
112,5.332171917
113,5.4128441811
114,5.1709413528
115,5.4067978859
116,5.07158041
117,5.6076998711
118,5.5418481827
119,5.4360780716
120,5.609834671
121,5.4561696053
122,5.4387688637
123,5.3701972961
124,5.4279184341
125,5.4151315689
126,5.2519330978
127,5.448132515
128,5.4358663559
129,5.4750452042
130,5.1031656265
131,5.1809921265
132,5.5425710678
133,5.2612051964
134,5.223069191
135,5.2919569016
136,5.3558168411
137,5.4128856659
138,5.5026693344
139,5.2437644005
140,5.4728279114
141,5.4420003891
142,5.5001134872
143,5.5193872452
144,5.3868918419
145,5.4276447296
146,5.191049099
147,5.3880381584
148,5.3307857513
149,5.3567695618
150,5.6472592354
151,5.5217623711
152,5.4867830276
153,5.4021267891
154,5.1202311516
155,5.5568637848
156,5.3367638588
157,5.3705949783
158,5.5381669998
159,5.3602638245
160,5.4290819168
161,5.4494214058
162,5.2579259872
163,5.0748648643
164,5.2782235146
165,5.1299781799
166,5.2488737106
167,5.1991744041
168,5.2178621292
169,5.1316785812
170,5.052444458
171,5.1824879646
172,5.359975338
173,5.4015655518
174,5.5755314827
175,5.3974657059
176,5.5990915298
177,5.5279631615
178,5.462179184
179,5.5558867455
180,5.4834098816
181,5.4375224113
182,5.4522385597
183,5.5954360962
184,5.5329089165
185,5.3677816391
186,5.5614228249
187,5.5905275345
188,5.5467324257
189,5.3951234818
190,5.3034958839
191,5.4552431107
192,5.2060523033
193,5.1955490112
194,5.097902298
195,5.1843900681
196,5.5334472656
197,5.2724308968
198,5.3944401741
199,5.3971261978
200,5.5404024124
201,5.3379874229
202,5.3959388733
203,5.2283573151
204,5.3325200081
205,5.2161989212
206,5.4465303421
207,5.5427007675
208,5.4101490974
209,5.2566428185
210,5.3462877274
211,5.156288147
212,5.2996273041
213,5.1898736954
214,5.2464475632
215,5.3263344765
216,5.3040032387
217,5.2613782883
218,5.3647842407
219,5.4661726952
220,5.1722893715
221,5.3703603745
222,5.3527116776
223,5.3462638855
224,5.3537340164
225,5.2897119522
226,5.4665474892
227,5.3186907768
228,5.3453044891
229,5.3231568336
230,5.4930853844
231,5.3134660721
232,5.230899334
233,5.1485624313
234,5.2583770752
235,5.2147512436
236,5.169942379
237,5.235935688
238,5.3142457008
239,5.2873287201
240,5.2785992622
241,5.4287729263
242,5.084918499
243,5.3282513618
244,5.4039502144
245,5.5540342331
246,5.5872969627
247,5.3808031082
248,5.4043874741
249,5.2535657883
250,5.1691155434
251,5.3912763596
252,5.18988657
253,5.5857839584
254,5.2055258751
255,5.3668413162
256,5.353574276
257,5.3337507248
258,5.3288593292
259,5.3301744461
260,5.2643585205
261,5.3481731415
262,5.2495498657
263,5.3249330521
264,5.2850737572
265,5.3136086464
266,5.2506685257
267,5.136742115
268,5.3426413536
269,5.2834711075
270,5.4025244713
271,5.4137005806
272,5.1880950928
273,5.3714842796
274,5.2806196213
275,5.5646185875
276,5.2587790489
277,5.2768111229
278,5.0886087418
279,5.3291230202
280,5.2092080116
281,5.5627317429
282,5.487786293
283,5.3299231529
284,5.4679536819
285,5.4160165787
286,5.2546339035
287,5.3843340874
288,5.3352923393
289,5.3994703293
290,5.2489161491
291,5.233528614
292,5.4753103256
293,5.4135599136
294,5.3077940941
295,5.3267202377
296,5.4668531418
297,5.1742353439
298,5.2369790077
299,5.2862234116
300,5.21687603
301,5.3057336807
302,5.106502533
303,5.1451506615
304,5.3360891342
305,5.3845071793
306,5.2426171303
307,5.3477959633
308,5.2851781845
309,5.1608762741
310,5.3633694649
311,5.2058148384
312,5.2135329247
313,5.3076395988
314,5.1823644638
315,5.0415596962
316,5.1866679192
317,5.3637261391
318,5.2452459335
319,5.4004588127
320,5.2231121063
321,5.5249204636
322,5.4606819153
323,5.3902244568
324,5.1522655487
325,5.4054441452
326,5.4311189651
327,5.0765790939
328,5.3442773819
329,5.277818203
330,5.3429169655
331,5.3422074318
332,5.1877698898
333,5.2706046104
334,5.1417365074
335,5.3156161308
336,5.254594326
337,4.9220123291
338,5.4513673782
339,5.406083107
340,5.3309602737
341,5.1928377151
342,5.2734131813
343,5.0791721344
344,5.0128679276
345,5.2268104553
346,5.3785185814
347,5.3056230545
348,5.1921329498
