,0
0,-7.51038
1,-8.0244
2,-9.40774
3,-9.18371
4,-8.99103
5,-9.25093
6,-9.24007
7,-9.78596
8,-8.92922
9,-8.83565
10,-8.63821
11,-9.00002
12,-8.93431
13,-9.34373
14,-8.79213
15,-9.04566
16,-9.12975
17,-8.92645
18,-9.05941
19,-9.46669
20,-9.3252
21,-9.24781
22,-8.42589
23,-9.16723
24,-8.21356
25,-8.74781
26,-9.00649
27,-9.16928
28,-8.78065
29,-9.41835
30,-9.25119
31,-9.11837
32,-8.53135
33,-9.27105
34,-9.05196
35,-8.58493
36,-9.83481
37,-9.301
38,-8.71045
39,-8.83218
40,-8.84973
41,-9.19927
42,-9.07625
43,-8.55058
44,-8.48589
45,-9.41239
46,-8.08166
47,-8.65304
48,-8.18586
49,-8.7818
50,-8.7531
51,-8.91488
52,-8.54655
53,-8.84429
54,-7.83601
55,-8.76376
56,-8.52169
57,-8.7062
58,-8.08691
59,-8.60267
60,-9.36516
61,-9.22704
62,-8.81352
63,-8.87029
64,-8.55079
65,-8.48193
66,-9.26846
67,-9.47464
68,-9.48804
69,-8.65931
70,-8.74216
71,-8.87451
72,-8.69069
73,-8.8629
74,-8.93393
75,-8.30788
76,-9.05906
77,-8.93297
78,-8.24207
79,-8.22037
80,-8.48199
81,-8.94369
82,-8.79674
83,-7.52875
84,-8.48802
85,-8.68067
86,-8.20291
87,-9.173
88,-8.81928
89,-8.41475
90,-8.28418
91,-8.81847
92,-8.10876
93,-8.74611
94,-8.75856
95,-8.68676
96,-8.64148
97,-8.75728
98,-8.34632
99,-8.17671
100,-9.33215
101,-9.08194
102,-9.01837
103,-8.8193
104,-8.60316
105,-8.91642
106,-7.87938
107,-7.98758
108,-8.52035
109,-7.69221
110,-8.24308
111,-8.61975
112,-8.55569
113,-9.35343
114,-8.07888
115,-8.57407
116,-8.3239
117,-9.24694
118,-9.13419
119,-8.56853
120,-8.47456
121,-8.80195
122,-8.89904
123,-8.72896
124,-8.57269
125,-8.40061
126,-8.61522
127,-8.41599
128,-8.26485
129,-8.95349
130,-8.56085
131,-8.71149
132,-9.02955
133,-8.65018
134,-8.05239
135,-8.695
136,-8.68366
137,-8.35652
138,-7.55606
139,-9.04276
140,-8.92781
141,-9.13603
142,-9.06335
143,-9.86059
144,-8.53989
145,-7.85005
146,-8.83158
147,-8.46513
148,-9.11001
149,-8.42187
150,-8.66869
151,-9.04685
152,-9.1524
153,-8.83958
