time_ns,rmsd
0.0,0.0
0.05,0.9583537238976383
0.1,0.9843787573345931
0.15000000000000002,0.9143195725569441
0.2,1.0420510038277013
0.25,1.0299024763386446
0.30000000000000004,1.1349478860011146
0.35000000000000003,1.2546506290118475
0.4,1.2143155779323882
0.45,1.177945511035608
0.5,1.1722436287474562
0.55,1.298700886029557
0.6000000000000001,1.3267843312332015
0.65,1.3605036510123192
0.7000000000000001,1.26234063158451
0.75,1.4378901056370441
0.8,1.2453884246277573
0.8500000000000001,1.5137052868936718
0.9,1.3093628850309362
0.9500000000000001,1.4154049266935822
1.0,1.2901399916040077
1.05,1.286027095677461
1.1,1.3036680736649913
1.1500000000000001,1.5866264921580793
1.2000000000000002,1.7397650772258568
1.25,1.4056896228342184
1.3,1.5013601105315892
1.35,1.3585180609462681
1.4000000000000001,1.4728598157718755
1.4500000000000002,1.6135897017928449
1.5,1.4099100052897162
1.55,1.4125523150471648
1.6,1.2669115358974454
1.6500000000000001,1.1288633795682028
1.7000000000000002,1.217895965639549
1.75,1.0927811151651505
1.8,1.1481175145387184
1.85,1.1470940220400587
1.9000000000000001,1.1375472848363983
1.9500000000000002,1.3162271424171774
2.0,1.152512745908157
2.0500000000000003,1.3573937619149183
2.1,1.565152010237689
2.15,1.478240374359534
2.2,1.6781529789257408
2.25,1.5610968450970433
2.3000000000000003,1.6564967885080204
2.35,1.6715393468684496
2.4000000000000004,1.5169268424013789
2.45,1.8377428113209473
2.5,1.8320169128960713
2.5500000000000003,1.7243351193800251
2.6,1.659032234327426
2.6500000000000004,1.856895695823613
2.7,1.925917150775565
2.75,1.608691467852567
2.8000000000000003,1.4221887732398133
2.85,1.439512698444304
2.9000000000000004,1.7005160492298241
2.95,1.8036046240614998
3.0,2.149395786018055
3.0500000000000003,1.786543381592085
3.1,1.7267208223176223
3.1500000000000004,1.5505906773943783
3.2,1.5280991980668357
3.25,1.6475016174457486
3.3000000000000003,1.6133934006449282
3.35,1.7736710624532235
3.4000000000000004,2.005048198900976
3.45,2.072946554198369
3.5,1.8045859220043332
3.5500000000000003,2.0878392247733744
3.6,2.0431028750440645
3.6500000000000004,1.880437994502789
3.7,2.375619733506518
3.75,2.259677346662786
3.8000000000000003,2.4167077490247197
3.85,2.5279221133666354
3.9000000000000004,2.668677506326147
3.95,2.3871656192443527
4.0,2.2075041026284015
4.05,2.153427283616484
4.1000000000000005,2.1140915153159883
4.15,1.8745207142771168
4.2,1.8002672013696637
4.25,2.154310661496208
4.3,1.9973874876574174
4.3500000000000005,2.0110352679384826
4.4,2.1053415404091544
4.45,2.3064667982214986
4.5,2.2990840589167547
4.55,2.4372986657903954
4.6000000000000005,2.3786950585504982
4.65,1.9978188425924768
4.7,1.6696710177517715
4.75,1.6756188921947228
4.800000000000001,1.5064742455003115
4.8500000000000005,1.3937590275690122
4.9,1.6274945519162793
4.95,1.8306303046930583
5.0,2.0402245235334266
5.050000000000001,2.1669119607752103
5.1000000000000005,2.0370023615409423
5.15,1.9395018214219966
5.2,1.9985720454585651
5.25,1.8651123690076026
5.300000000000001,1.8964998411070766
