,0
0,3.6211223602
1,3.681122303
2,3.6576104164
3,3.6649017334
4,3.619178772
5,3.7120094299
6,3.6326377392
7,3.5691158772
8,3.5950036049
9,3.6617484093
10,3.5412764549
11,3.7362282276
12,3.4183528423
13,3.6950378418
14,3.540779829
15,3.7383110523
16,3.6160171032
17,3.5343341827
18,3.6346416473
19,3.6215751171
20,3.9180140495
21,3.6873054504
22,3.6798069477
23,3.6080126762
24,3.5503468513
25,3.8220481873
26,3.5414757729
27,3.5381684303
28,3.5509200096
29,3.5980010033
30,3.8351364136
31,3.5628318787
32,3.5824306011
33,3.6555848122
34,3.8303673267
35,3.7826564312
36,3.6913146973
37,3.6830668449
38,3.490881443
39,3.6297469139
40,3.4729266167
41,3.5261294842
42,3.7311730385
43,3.3484168053
44,3.800797224
45,3.3559844494
46,3.4453902245
47,3.2105660439
48,3.6724765301
49,3.651072979
50,3.6857078075
51,3.4996109009
52,3.6600062847
53,3.7287335396
54,3.5766582489
55,3.5559902191
56,3.8130016327
57,3.8194336891
58,3.6044852734
59,3.5469260216
60,3.6222748756
61,3.688605547
62,3.6360487938
63,3.6478989124
64,3.7240283489
65,3.8291873932
66,3.6588702202
67,3.6836438179
68,3.7284660339
69,3.6865153313
70,3.7024302483
71,3.6535689831
72,3.7068970203
73,3.5895950794
74,3.9550280571
75,3.5815148354
76,3.6924290657
77,3.7177035809
78,3.6157836914
79,3.6957359314
80,3.7527527809
81,3.786008358
82,3.5872414112
83,3.6372661591
84,3.4280273914
85,3.8207798004
86,3.7491290569
87,3.750629425
88,3.7415223122
89,3.7212665081
90,3.7522861958
91,3.6733632088
92,3.7319922447
93,3.7923946381
94,3.5724158287
95,3.7345433235
96,3.8727593422
97,3.679725647
98,3.7267971039
99,3.5795333385
100,3.7100906372
101,3.7599015236
102,3.6266856194
103,3.6658599377
104,3.7373459339
105,3.6934483051
106,3.7600829601
107,3.6391303539
108,3.6269192696
109,3.6156570911
110,3.703196764
111,3.7344195843
112,3.8648636341
113,3.6081805229
114,3.7091679573
115,3.744594574
116,3.6386008263
117,3.6975600719
118,3.7862415314
119,3.5893771648
120,3.7930846214
121,3.7303390503
122,3.8836166859
123,3.8166294098
124,3.6408791542
125,3.7355132103
126,3.6761021614
127,3.8857963085
128,3.7208647728
129,3.770106554
130,3.5836575031
131,3.7627894878
132,3.6249420643
133,3.6098983288
134,3.7607216835
135,3.6624259949
136,3.6266007423
137,3.8507657051
138,3.5947432518
139,3.6466095448
140,3.5957551003
141,3.7038066387
142,3.7047946453
143,3.7233536243
144,3.6601097584
145,3.4978644848
146,3.6376070976
147,3.7103152275
148,3.5329480171
149,3.6939265728
150,3.6234595776
151,3.6493220329
152,3.7267639637
153,3.5914871693
154,3.7955613136
155,3.7435011864
156,3.6105830669
157,3.6776866913
158,3.7360541821
159,3.5457806587
160,3.2375354767
161,3.5884995461
162,3.5955359936
163,3.6238083839
164,3.6182303429
165,3.6098136902
166,3.6358420849
167,3.6157021523
168,3.6686348915
169,3.5033860207
170,3.6319541931
171,3.5210556984
172,3.570625782
173,3.5086677074
174,3.6024823189
175,3.52059865
176,3.6702721119
177,3.6077606678
178,3.6421751976
179,3.6306519508
180,3.5217449665
181,3.71037817
182,3.4963333607
183,3.5930125713
184,3.6233973503
185,3.5571243763
186,3.5501282215
187,3.5949511528
188,3.6417021751
189,3.6462111473
190,3.6326034069
191,3.5262827873
192,3.7590966225
193,3.6781272888
194,3.5772514343
195,3.5101985931
196,3.3963439465
197,3.5952765942
198,3.5708231926
199,3.7261741161
200,3.6583380699
201,3.6535294056
202,3.6432609558
203,3.7882914543
204,3.560403347
205,3.7223548889
206,3.5434646606
207,3.6049427986
208,3.7619903088
209,3.3514442444
210,3.2497222424
211,3.3702304363
212,3.4115188122
213,3.3774428368
214,3.1841201782
215,3.3412632942
216,3.478395462
217,3.3507606983
218,3.2261776924
219,3.3913891315
220,3.125
221,3.2545847893
222,3.3740744591
223,3.5317103863
224,3.5349440575
225,3.5685303211
226,3.6989703178
227,3.6429667473
228,3.6355202198
229,3.6698441505
230,3.7443630695
231,3.6987514496
232,3.6007676125
233,3.6670165062
234,3.6991965771
235,3.6522529125
236,3.4964652061
237,3.5618407726
238,3.8093287945
239,3.5354664326
240,3.5517191887
241,3.624024868
242,3.5457663536
243,3.688501358
244,3.6413702965
245,3.6425201893
246,3.7504839897
247,3.8192203045
248,3.8364703655
249,3.8100814819
250,3.6532530785
251,3.7921230793
252,3.7169334888
253,3.7425312996
254,3.7565803528
255,3.610599041
256,3.6609287262
257,3.6239600182
258,3.5571129322
259,3.6527843475
260,3.567378521
261,3.6091396809
