Frame,RMSD_dock
0,3.587086
1,3.8419404
2,3.541923
3,3.5707827
4,3.687134
5,3.5567853
6,3.3804317
7,3.3278594
8,3.7627409
9,3.9199033
10,3.4017134
11,4.240541
12,3.1319354
13,4.324361
14,3.8278334
15,3.1267335
16,4.0664153
17,3.0604315
18,3.754625
19,3.8887255
20,3.5638523
21,3.9305766
22,3.8568776
23,3.8966048
24,3.824282
25,3.9501905
26,3.4217296
27,3.146878
28,4.0538015
29,3.3832033
30,3.908019
31,3.6290557
32,3.8183367
33,3.7125297
34,3.8364208
35,4.103836
36,3.9715822
37,4.449977
38,3.3526065
39,3.459097
40,4.139094
41,2.9542406
42,2.845902
43,3.4899006
44,2.7846076
45,3.2710493
46,3.3705206
47,4.096149
48,3.2869773
49,2.9402971
50,3.5414338
51,3.8991013
52,3.5413208
53,3.2121987
54,3.1178124
55,3.3995306
56,3.6345491
57,3.8790643
58,3.1445537
59,3.2100894
60,3.401858
61,3.5555453
62,3.275227
63,3.3681087
64,3.3327837
65,3.462924
66,3.3917673
67,3.3265553
68,3.018995
69,3.6392753
70,3.460458
71,3.4045036
72,3.130496
73,3.4682586
74,3.625154
75,3.1368172
76,3.3093913
77,3.2456121
78,3.5982254
79,3.3428748
80,3.2866216
81,3.3761299
82,3.0186572
83,3.6458275
84,3.8442867
85,3.2520223
86,3.5973623
87,3.4484622
88,3.3096714
89,3.0763423
90,2.9268913
91,3.470743
92,3.3352523
93,3.0822985
94,3.164806
95,3.4404845
96,3.1015472
97,3.186407
98,3.3130546
99,3.0430043
100,3.4206314
101,3.283509
102,3.155806
103,3.152559
104,3.2960315
105,2.9884036
106,3.4677496
107,2.8851874
108,3.4574149
109,3.2308273
110,3.3680716
111,2.8870058
112,3.3132882
113,3.4244282
114,3.165789
115,3.6567523
116,3.6052058
117,3.1168318
118,3.4832962
119,3.4598835
120,3.2791212
121,3.3640835
122,3.6421092
123,3.4013195
124,3.1157334
125,3.1636953
126,3.6085207
127,3.5564597
128,3.468254
129,3.6005359
130,3.3689723
131,3.3120599
132,3.4981117
133,5.4762073
134,6.4145412
135,6.7435856
136,6.581873
137,5.970479
138,6.759146
139,6.9725165
140,7.0598354
141,6.77524
142,6.3965755
143,5.967244
144,5.2805963
145,4.9631414
146,4.373733
147,5.4805536
148,4.8083405
149,5.0713534
150,5.2461653
151,4.8325806
152,4.83471
153,4.540918
154,4.063893
155,4.9312844
156,4.8755164
157,4.8209496
158,3.413103
159,2.778804
160,4.182359
161,5.515139
162,3.6893406
163,5.1202936
164,4.941748
165,5.25911
166,4.7175536
167,5.5416794
168,4.910192
169,4.484597
170,4.26514
171,4.755115
172,4.185257
173,5.0559373
174,4.3483872
175,4.885872
176,4.8749356
177,5.149559
178,5.1413174
179,5.6615496
180,4.6185894
181,4.6293263
182,4.3253136
183,5.4056334
184,5.4323726
185,5.0012674
186,5.8607545
187,5.909182
188,4.6744776
189,4.9811597
190,5.355883
191,5.1600122
192,5.563126
193,5.458387
194,5.67647
195,5.97534
196,5.070132
197,5.59797
198,5.1652293
199,5.312414
200,5.2797513
201,4.8444133
202,4.857198
203,4.064909
204,4.7433496
205,5.5205526
206,4.931161
207,5.143815
208,4.9070106
209,6.0081043
210,4.9958863
211,6.1599517
212,3.8221934
213,4.591104
214,5.045757
215,3.3820834
216,4.18649
217,4.513806
218,4.7833705
219,4.4039145
220,4.0445337
221,4.413546
222,3.8090553
223,2.6190739
224,2.974078
225,2.7352664
226,3.073068
227,3.7356422
228,3.8932884
229,2.510004
230,1.4900407
231,3.021766
232,3.1205795
233,3.1155388
234,3.2608204
235,3.1819649
236,3.484339
237,3.3358757
238,3.719768
239,3.0810444
240,3.0934262
241,3.4217944
242,3.1174352
