Time (ns),RMSD (Å)
0.0,0.0004700148262055588
0.1,0.13449398329239232
0.2,0.16659261052722554
0.30000000000000004,0.131975361052861
0.4,0.14977443721725747
0.5,0.12458846790696854
0.6000000000000001,0.17563145456917098
0.7000000000000001,0.10791009359747815
0.8,0.13298858776409642
0.9,0.1601228640855964
1.0,0.10821663048571545
1.1,0.1490547269309179
1.2000000000000002,0.18794601628655247
1.3,0.1198067175932321
1.4000000000000001,0.17455907922468794
1.5,0.22455975213915985
1.6,0.1229167783497005
1.7000000000000002,0.10272529449424118
1.8,0.16494243410934137
1.9000000000000001,0.15338245734748615
2.0,0.13595177756881238
2.1,0.19195433619077346
2.2,0.20957494881746064
2.3000000000000003,0.20495644197965027
2.4000000000000004,0.13749493762554832
2.5,0.17618881986200727
2.6,0.15407883009420997
2.7,0.14961551379782773
2.8000000000000003,0.16646492011101321
2.9000000000000004,0.15559364031964945
3.0,0.10639476168778438
3.1,0.1243469782294209
3.2,0.12248260468636467
3.3000000000000003,0.10974663775715544
3.4000000000000004,0.11583933975741231
3.5,0.130702903970505
3.6,0.09601697200067781
3.7,0.12716929582755362
3.8000000000000003,0.14387426416826102
3.9000000000000004,0.15751033787887467
4.0,0.12479920998295221
4.1000000000000005,0.14031969449068585
4.2,0.17364182218019622
4.3,0.11276117997830187
4.4,0.1781358923368114
4.5,0.15444605332053146
4.6000000000000005,0.14993079189709604
4.7,0.12561396548642398
4.800000000000001,0.1547354838966646
4.9,0.12431054522577045
5.0,0.14475737753392035
5.1000000000000005,0.1866678218110136
5.2,0.08404325960275742
5.300000000000001,0.14331491427627552
5.4,0.09774024244888321
5.5,0.13656243731204135
5.6000000000000005,0.1078896173197926
5.7,0.1573730931111005
5.800000000000001,0.13702913073834183
5.9,0.1398036790982098
6.0,0.11003200708624104
6.1000000000000005,0.14962860135314693
6.2,0.1994925099182432
6.300000000000001,0.17812787434689492
6.4,0.13170541498593755
6.5,0.19815243393990004
6.6000000000000005,0.16754329676903615
6.7,0.187700117153612
6.800000000000001,0.1817082838416257
6.9,0.11300235880090144
7.0,0.12168714912835077
7.1000000000000005,0.18318977582095666
7.2,0.14943307421586266
7.300000000000001,0.21306649961435511
7.4,0.2641143955406012
7.5,0.1694419503747336
7.6000000000000005,0.11227618148824557
7.7,0.09635099872150654
7.800000000000001,0.15473009227932089
7.9,0.1355196903377137
8.0,0.14726485697851452
8.1,0.1431584416645117
8.200000000000001,0.11763073434869403
8.3,0.13340319543272183
8.4,0.1288147731779988
8.5,0.12050643874712362
8.6,0.13356835859652413
8.700000000000001,0.12243211258777335
8.8,0.13843948544310422
8.9,0.13713805780925378
9.0,0.13011492563148302
9.1,0.08003563007441068
9.200000000000001,0.16674495145766316
9.3,0.1341348919066459
9.4,0.144452568100357
9.5,0.13483052395948666
9.600000000000001,0.13610693632466817
9.700000000000001,0.15026954544305368
9.8,0.1450660631505023
9.9,0.20350916647372258
10.0,0.1796582168290896
10.100000000000001,0.14476444673707276
10.200000000000001,0.2696286858423994
10.3,0.16063131096084804
10.4,0.16648544118783923
10.5,0.1568957065987369
10.600000000000001,0.15081107545949218
10.700000000000001,0.14425046272869682
10.8,0.1326073811932875
10.9,0.17334435509644133
11.0,0.1512812692880752
11.100000000000001,0.1999364419522724
11.200000000000001,0.1196639081224623
11.3,0.14437061089745318
11.4,0.11658302718535603
11.5,0.09565968621882757
11.600000000000001,0.15954816339460146
11.700000000000001,0.1047451194064534
11.8,0.16794770726349006
11.9,0.11899233245422533
12.0,0.1586071826320409
12.100000000000001,0.13580209663252943
12.200000000000001,0.17046913468943414
12.3,0.17596081426385565
12.4,0.13417883941264402
12.5,0.14567878952694086
12.600000000000001,0.1379920004448693
12.700000000000001,0.18448373215192337
12.8,0.14693268918624725
12.9,0.11793037630103828
13.0,0.128229500720628
13.100000000000001,0.12972546295216367
13.200000000000001,0.12057485678276746
13.3,0.17536036271378305
13.4,0.2319345515599419
13.5,0.1764032582407329
13.600000000000001,0.1455760305875639
13.700000000000001,0.19657166286002717
13.8,0.1354989920586006
13.9,0.11970335378363696
14.0,0.16500897412811105
14.100000000000001,0.1431298411433024
14.200000000000001,0.22833190115040125
14.3,0.17386818857224465
14.4,0.17597625688646484
14.5,0.13477096423284843
14.600000000000001,0.13066068497955316
14.700000000000001,0.12205644914534473
14.8,0.15313983708002687
14.9,0.17196706500568398
15.0,0.1405345314990631
15.100000000000001,0.12694632062992578
15.200000000000001,0.22934248180923048
15.3,0.1617551956265342
15.4,0.16017227617201954
15.5,0.14942047401517772
15.600000000000001,0.12346818087072864
15.700000000000001,0.18704948734933563
15.8,0.17925256700444095
15.9,0.12174898102639017
16.0,0.17464835455222652
16.1,0.15814569425417918
16.2,0.15595610915742783
16.3,0.14918054838530773
16.400000000000002,0.15321918485675803
16.5,0.15192972200216967
16.6,0.14417073241341927
16.7,0.15097690704369518
16.8,0.14993217776558027
16.900000000000002,0.13932016447658288
17.0,0.0932562063600242
17.1,0.10775172745562547
17.2,0.1419940486126108
17.3,0.10924936181394433
17.400000000000002,0.12707476032904966
17.5,0.1904657891047668
17.6,0.1471037939974416
17.7,0.09427125222556997
17.8,0.14409396974088026
17.900000000000002,0.16627351683894637
18.0,0.1278913836907892
18.1,0.14349041566561996
18.2,0.14350941344573237
18.3,0.21435666128253583
18.400000000000002,0.1312249969405087
18.5,0.16183684930916384
18.6,0.11695891257214677
18.7,0.15064806418099863
18.8,0.11925905004830946
18.900000000000002,0.2067152714400372
19.0,0.1693028333532044
19.1,0.10660720479684598
19.200000000000003,0.18976765059840128
19.3,0.17039865478491095
19.400000000000002,0.10144007738381092
19.5,0.20163720414945002
19.6,0.1291402267091571
19.700000000000003,0.15170105315818483
19.8,0.1642830831650894
19.900000000000002,0.12171619844288974
20.0,0.10747263554029862
20.1,0.13953688607166012
20.200000000000003,0.11504261419051781
20.3,0.13739737451514042
20.400000000000002,0.16850343291996084
20.5,0.1263093945437744
20.6,0.18879669551388534
20.700000000000003,0.13626022354177064
20.8,0.10625366449817857
20.900000000000002,0.17207203589628958
21.0,0.15417777728048793
21.1,0.12198851985817108
21.200000000000003,0.1593438254374489
21.3,0.12252724460036903
21.400000000000002,0.10544513624059491
21.5,0.1513062801398248
21.6,0.12505009851997081
21.700000000000003,0.20191373776505192
21.8,0.12900887502884922
21.900000000000002,0.13902996476029147
22.0,0.15047235614567084
22.1,0.14637604644038482
22.200000000000003,0.11695346606039832
22.3,0.16591034866463847
22.400000000000002,0.12534058256083136
22.5,0.09909649782933946
22.6,0.17947322178551953
22.700000000000003,0.12122359473573295
22.8,0.24573114918347405
22.900000000000002,0.1857317511057136
23.0,0.13599085722033466
23.1,0.1401342182616452
23.200000000000003,0.17335557521910167
23.3,0.14074233008505718
23.400000000000002,0.15244538303098218
23.5,0.14357950692927124
23.6,0.19936290192049885
23.700000000000003,0.10970654826277777
23.8,0.13783974866218918
23.900000000000002,0.11842321725158571
24.0,0.1326351918262793
24.1,0.13584823790289405
24.200000000000003,0.14534746380366978
24.3,0.24071140653825318
24.400000000000002,0.12184648064256266
24.5,0.1657334886732951
24.6,0.16975722756869452
24.700000000000003,0.14754573854179268
24.8,0.16366676188162887
24.900000000000002,0.10850073149153523
25.0,0.16421854730400567
25.1,0.21095695685755883
25.200000000000003,0.12893013819590937
25.3,0.14467176824723504
25.400000000000002,0.1977369698775492
25.5,0.1489423408491698
25.6,0.1831485402212831
25.700000000000003,0.15675888292843476
25.8,0.1306767400401774
25.900000000000002,0.15952842927295852
26.0,0.14475210189877166
26.1,0.12656886517116064
26.200000000000003,0.16495299048240122
26.3,0.19794804126364224
26.400000000000002,0.14720319135756033
26.5,0.13089534907701633
26.6,0.15339775342707626
26.700000000000003,0.14919091200514148
26.8,0.11377981542162262
26.900000000000002,0.10063524941828005
27.0,0.16852950012427864
27.1,0.15398511583653196
27.200000000000003,0.14568655344657527
27.3,0.1670308474295153
27.400000000000002,0.1456545214105257
27.5,0.12413965381660422
27.6,0.1759153282731932
27.700000000000003,0.174568704449028
27.8,0.11675325461457121
27.900000000000002,0.11135489276145906
28.0,0.13744355181931206
28.1,0.11975027004429886
28.200000000000003,0.13823598677339316
28.3,0.13410575214597203
28.400000000000002,0.10656640067741008
28.5,0.12847328672004507
28.6,0.10827901022502347
28.700000000000003,0.1519050327822352
28.8,0.19573410767638197
28.900000000000002,0.11077196945884718
29.0,0.13939375333341836
29.1,0.12606231881925856
29.200000000000003,0.19202132024112756
29.3,0.13125848772002113
29.400000000000002,0.10684897002593813
29.5,0.11041305574495272
29.6,0.19363626095149553
29.700000000000003,0.1403658655857471
29.8,0.156017383890011
29.900000000000002,0.1456353441601196
30.0,0.10939042826437737
30.1,0.14119176852628607
30.200000000000003,0.23172358313511401
30.3,0.14625817457336304
30.400000000000002,0.15315412873421816
30.5,0.08805560329123831
30.6,0.1842069881690573
30.700000000000003,0.11369609105263294
30.8,0.10976123241818894
30.900000000000002,0.10707668811630598
31.0,0.14501923628488092
31.1,0.15968269726926546
31.200000000000003,0.1843942813099053
31.3,0.14272095248288602
31.400000000000002,0.14330291253272953
31.5,0.14403653324108853
31.6,0.12141391437977472
31.700000000000003,0.14564948521497506
31.8,0.11902761099617422
31.900000000000002,0.1130871947173638
32.0,0.18576510035735924
32.1,0.17348597667385743
32.2,0.1721509473774348
32.300000000000004,0.13416533791101745
32.4,0.1172906503243864
32.5,0.10726592208900848
32.6,0.09954131326186592
32.7,0.12664703507703792
32.800000000000004,0.15999879825473357
32.9,0.1881445746572559
33.0,0.15062307691295518
33.1,0.19624226331544156
33.2,0.16101305249462625
33.300000000000004,0.1594458774315613
33.4,0.14684176326053927
33.5,0.17733594356415147
33.6,0.13245640810824363
33.7,0.18857111202016177
33.800000000000004,0.15398071774097796
33.9,0.2377127016928199
34.0,0.12598586045902652
34.1,0.13955793209426748
34.2,0.14655027330656428
34.300000000000004,0.1217323097724034
34.4,0.09691499762573076
34.5,0.1224803712545705
34.6,0.06484739378060309
34.7,0.1978260426601457
34.800000000000004,0.12437387101422008
34.9,0.12884193260884091
35.0,0.1477596689492176
35.1,0.12085961018560079
35.2,0.12551719713820247
35.300000000000004,0.13043931774895576
35.4,0.1549753169577984
35.5,0.1606674464480321
35.6,0.11600941032525938
35.7,0.1508159434422125
35.800000000000004,0.10753641172288389
35.9,0.08231002663579627
36.0,0.11688289380499917
36.1,0.18930449721734743
36.2,0.15851211850344119
36.300000000000004,0.1570357093202993
36.4,0.1396069821121095
36.5,0.1689629496733991
36.6,0.14605436595675816
36.7,0.13118722942689218
36.800000000000004,0.11857851538499467
36.9,0.12794854167800734
37.0,0.20989768718714003
37.1,0.1358274973101756
37.2,0.14354998516743134
37.300000000000004,0.1258661315909998
37.4,0.11481661895349113
37.5,0.1258264551552513
37.6,0.19849625253633066
37.7,0.13171564825745324
37.800000000000004,0.1589420298962657
37.9,0.12494727500452804
38.0,0.15508330569557888
38.1,0.1442885838540444
38.2,0.11704346645841564
38.300000000000004,0.18402123738906542
38.400000000000006,0.16915690948595843
38.5,0.0973487780185909
38.6,0.11218727295722075
38.7,0.11360875268952883
38.800000000000004,0.1395175839581724
38.900000000000006,0.10633005832460522
39.0,0.15135564053550882
39.1,0.16024391712410666
39.2,0.17356466203770082
39.300000000000004,0.12051895049969165
39.400000000000006,0.12484070251224759
39.5,0.12766153053111615
39.6,0.13236718445371876
39.7,0.16597947762492174
39.800000000000004,0.1383467912438605
39.900000000000006,0.12989125968743523
40.0,0.18312016092352051
40.1,0.16901006838172955
40.2,0.15079277787185
40.300000000000004,0.1146946465790408
40.400000000000006,0.12514252896871056
40.5,0.15856573020343617
