Frame,RMSD_noFit_frame0
0,2.4606748
1,2.1886725
2,2.5256872
3,1.8058358
4,2.3047428
5,2.069121
6,1.9457898
7,1.5517203
8,1.8464855
9,1.8117043
10,2.0837085
11,2.592735
12,1.62559
13,2.8369126
14,2.075892
15,1.8572687
16,2.2448459
17,1.4918959
18,1.6559935
19,2.1218197
20,1.4299369
21,1.7933764
22,1.8147159
23,1.9822594
24,1.8962992
25,2.382599
26,1.8678559
27,1.533778
28,1.9297278
29,1.9032595
30,1.424852
31,1.9288609
32,1.7516066
33,1.7196151
34,2.0074327
35,1.9193884
36,2.2938528
37,2.5654962
38,1.6481618
39,1.3440713
40,1.8569261
41,2.308338
42,3.1390846
43,3.6251256
44,3.14222
45,3.8815823
46,3.4095073
47,4.159621
48,0.96483076
49,0.858747
50,0.69502556
51,1.4146837
52,1.0722632
53,0.7746817
54,1.0845706
55,1.4029596
56,1.0092734
57,1.7601795
58,0.75540173
59,0.7878411
60,0.79669905
61,0.7492137
62,0.52435404
63,1.102492
64,1.043397
65,1.2092543
66,1.0004121
67,0.5146767
68,0.6578727
69,0.67853576
70,0.81165576
71,0.53603995
72,0.8465784
73,1.4807874
74,0.68328446
75,1.0482091
76,0.51550806
77,0.7694721
78,1.2963307
79,1.0132279
80,1.6584307
81,0.90606254
82,0.9933279
83,1.5880973
84,1.3062271
85,0.5568127
86,1.4205539
87,1.4615514
88,0.8235426
89,1.2552537
90,1.5633724
91,1.3064964
92,0.72325224
93,1.03558
94,1.3703249
95,0.96817786
96,0.59172815
97,1.3165257
98,0.93216366
99,1.0582409
100,0.0
101,0.37732497
102,0.67137045
103,1.2025259
104,0.67291045
105,0.77736044
106,1.2990487
107,1.1699157
108,0.9239572
109,0.45798734
110,1.2462813
111,1.2702636
112,0.7135558
113,1.0117725
114,1.3303343
115,1.4793961
116,0.9803695
117,1.3120444
118,0.80274427
119,1.2482363
120,0.6313365
121,0.8012377
122,0.89816004
123,0.5127509
124,0.93636096
125,1.3841857
126,1.5271189
127,1.3663206
128,0.71999115
129,0.8986377
130,1.7257903
131,1.2080258
132,1.833647
133,3.5594592
134,4.8032184
135,4.832257
136,4.572244
137,4.1224394
138,4.976017
139,5.2209067
140,5.4589715
141,5.153241
142,4.515308
143,4.1042624
144,3.5340366
145,3.2632723
146,4.5595865
147,5.6523366
148,4.932816
149,4.8143435
150,5.3561854
151,4.7787805
152,3.9972034
153,3.564553
154,4.2283044
155,4.9483423
156,5.0589695
157,4.76425
158,4.193495
159,3.950865
160,4.7612047
161,5.9410286
162,3.9826767
163,4.571716
164,3.9947412
165,5.20845
166,4.9628973
167,5.4497495
168,5.085017
169,4.661235
170,4.544204
171,4.6248436
172,4.5285816
173,4.9203763
174,4.6604943
175,5.0427074
176,5.1990914
177,5.3863297
178,5.3616533
179,5.894605
180,4.882657
181,4.894724
182,4.52496
183,5.6220517
184,5.843227
185,5.051699
186,6.178194
187,6.070617
188,5.1038423
189,5.191207
190,5.5683646
191,5.1354456
192,5.5220065
193,5.5299883
194,5.769801
195,6.2565026
196,5.1641364
197,5.747397
198,5.3816547
199,5.238618
200,5.4259114
201,5.0000052
202,5.2121763
203,4.318469
204,4.794889
205,5.7593336
206,4.0005255
207,3.886912
208,4.9129977
209,6.2046347
210,5.2098007
211,6.28368
212,4.772111
213,5.039118
214,5.605938
215,4.0185533
216,4.8984137
217,4.956265
218,5.4405465
219,5.1999063
220,4.4329014
221,5.0419865
222,4.1876726
223,1.9432638
224,0.9427858
225,1.350712
226,1.0983536
227,0.80585825
228,0.9361145
229,1.3254796
230,2.7656212
231,0.7582859
232,0.87841415
233,0.60654604
234,0.58638966
235,1.4276029
236,1.0081267
237,0.9128642
238,0.87016755
239,0.97975504
240,0.6586239
241,0.6130775
242,0.7432265
243,0.81376374
244,0.72657436
245,0.55190235
246,1.0034711
247,0.9021817
248,0.8512562
249,0.4309353
250,0.7571795
251,0.5291567
252,0.65958893
253,1.064855
254,0.5780285
255,0.8834458
256,1.5321887
257,1.0324012
258,0.63719094
259,1.2886341
260,1.1268183
261,0.8585597
262,1.4224503
263,1.4158025
264,0.8841084
265,0.6375804
266,1.092464
267,0.73684305
268,0.7147918
269,0.63489956
270,1.1817187
271,1.5254638
272,0.9433257
273,0.92733735
274,0.6427644
275,1.0969269
276,1.7785566
277,1.4195335
278,1.13849
279,1.4054403
280,0.70631105
281,0.7336546
282,1.049764
283,1.054718
284,1.0607469
285,1.2567661
286,1.3184487
287,1.1203896
288,1.3463831
289,0.9475958
290,2.8691154
291,3.069678
292,3.11101
293,4.051192
294,3.4316957
295,3.6127756
296,3.483024
297,4.1358423
298,4.397653
299,4.787922
300,4.174452
301,4.349148
302,4.6348305
303,4.521549
304,4.3689384
305,4.538869
306,5.134704
307,5.2913723
308,4.946738
309,5.273533
310,4.723951
311,4.5283575
312,4.454357
313,4.718874
314,3.849608
315,3.7307022
316,3.5290623
317,3.6693053
318,3.6959212
319,3.4325993
320,3.311092
321,3.3967896
322,3.4782646
323,3.4021602
324,3.2860458
325,3.4924715
326,3.4805052
327,3.3177762
328,3.5350902
329,3.6732225
330,3.596385
331,3.6881063
332,3.8020227
333,3.7054927
334,3.8979313
335,4.0282125
336,3.9517515
337,4.051887
338,3.9341476
339,3.844093
340,4.139848
341,3.8163004
342,4.0158477
343,3.8423464
344,3.8747113
345,4.078503
346,3.9463096
347,3.824865
348,3.811943
349,3.7934575
350,3.8781352
351,3.8919504
352,3.9665277
353,3.9382286
354,4.2354403
355,4.041158
356,3.9142015
357,3.918774
358,4.0586066
359,4.2010207
360,5.047021
361,4.484732
362,4.2031054
363,4.4322543
364,4.111387
365,4.660823
366,4.7972093
367,4.545025
368,4.735312
369,4.3085485
370,5.32675
371,4.5946655
372,4.45481
373,4.864369
374,4.4519043
375,4.702749
376,4.636409
377,4.3858743
378,4.397252
379,4.476874
380,4.5986147
381,4.46558
382,4.4242635
383,4.5746984
384,4.8134165
385,3.731862
386,4.3169694
387,3.8237035
388,3.8731885
389,4.0978966
390,4.1707506
391,4.588009
392,4.239098
393,4.5053735
394,5.683877
395,5.9672513
396,5.480417
397,4.931372
398,4.809575
399,4.2580004
400,4.9727516
401,5.447766
402,4.313224
403,5.0468597
404,4.6888976
405,4.9416203
406,4.614601
407,4.967444
408,4.7307706
409,5.2753854
410,5.0176687
411,4.9628057
412,5.7503414
413,6.199129
414,5.7002573
415,5.6365485
416,4.3479137
417,4.3481684
418,3.9103694
419,3.9510717
420,4.0596294
421,3.9160244
422,3.9008236
423,4.123908
424,4.148188
425,3.9936376
426,4.099989
427,4.065943
428,3.823254
429,5.0505676
430,4.992642
431,5.034134
432,4.9917493
433,5.3311734
434,4.3711224
435,4.4758034
436,5.3906374
437,4.797135
438,5.1210866
439,4.819166
440,4.739505
441,4.535909
442,4.36285
443,5.0873237
444,4.890477
445,4.9473996
446,5.7849565
447,4.8514714
448,4.975097
449,4.6210237
450,4.462314
451,4.4754934
452,4.077472
453,4.05807
454,4.137863
455,5.463378
456,5.303981
457,5.155883
