Frame,RMSD_noFit_frame0
0,2.3565617
1,2.2844574
2,2.7046673
3,2.2671833
4,1.9721516
5,2.299573
6,2.266169
7,2.338339
8,1.9990844
9,1.9921839
10,2.1883233
11,1.5302304
12,1.976431
13,1.9133807
14,1.7999634
15,1.8557546
16,2.2967277
17,1.9038197
18,1.6996543
19,1.8073066
20,1.6265199
21,1.9654186
22,1.3909285
23,1.8498893
24,1.6281142
25,2.3737655
26,1.2919276
27,1.374765
28,1.433558
29,1.5139897
30,1.0913928
31,0.9508122
32,1.678188
33,2.223942
34,1.442101
35,1.4691216
36,1.6168722
37,1.4515816
38,0.84717053
39,1.2827668
40,1.2343367
41,1.6482537
42,1.3500618
43,0.5765978
44,1.7961472
45,1.2658243
46,1.8450083
47,1.6719058
48,1.494037
49,1.5242152
50,1.748128
51,1.7776853
52,1.741563
53,1.3103989
54,1.7795365
55,1.5237982
56,1.6710751
57,1.6294893
58,0.75209624
59,1.6178304
60,1.2071061
61,1.5897582
62,1.6187508
63,1.7764604
64,1.8498839
65,1.3645481
66,1.4850425
67,0.88255394
68,0.88471836
69,1.1052376
70,1.2210175
71,1.3937757
72,0.761431
73,1.4558098
74,1.0137275
75,0.92216635
76,0.579769
77,1.0900948
78,0.6422284
79,0.55844915
80,0.89271736
81,0.9732146
82,0.5786956
83,0.69126546
84,1.1455334
85,1.0736686
86,1.1640432
87,0.7082494
88,1.3260405
89,1.4371802
90,1.1057669
91,1.2423093
92,1.1622512
93,1.5119594
94,1.5775747
95,1.123744
96,1.0559667
97,1.0767084
98,0.8877058
99,0.8207377
100,0.0
101,1.0020278
102,1.5575143
103,0.81956923
104,1.4126374
105,1.409906
106,1.4708456
107,1.5588043
108,1.2404858
109,2.1384106
110,1.6117804
111,1.2389469
112,1.5314763
113,2.0675194
114,1.0352957
115,1.3356503
116,1.1524177
117,1.4529015
118,1.4060515
119,1.2045314
120,1.1636391
121,1.1509855
122,1.2343867
123,1.1919465
124,1.1396853
125,1.1902009
126,1.3801346
127,1.2341334
128,1.4502766
129,1.3097862
130,0.99685603
