,0
0,-7.77482
1,-8.00763
2,-7.23869
3,-7.69393
4,-7.63239
5,-7.05557
6,-7.52082
7,-7.31995
8,-7.83477
9,-7.61368
10,-6.55288
11,-7.27676
12,-8.10956
13,-7.25315
14,-7.02854
15,-7.66729
16,-7.5301
17,-7.63038
18,-8.19436
19,-7.4874
20,-7.78061
21,-7.53506
22,-7.95193
23,-8.09805
24,-7.41456
25,-7.35312
26,-7.06718
27,-7.43188
28,-7.04227
29,-7.20371
30,-7.57703
31,-6.52681
32,-7.19299
33,-7.58577
34,-6.19857
35,-7.34773
36,-8.22728
37,-7.29026
38,-7.06985
39,-7.56722
40,-7.94751
41,-7.83119
42,-7.59245
43,-7.79901
44,-7.08144
45,-7.70643
46,-7.31988
47,-7.17669
48,-7.78643
49,-7.49346
50,-6.97166
51,-7.85988
52,-7.27555
53,-7.17034
54,-7.02878
55,-6.82172
56,-6.6506
57,-6.93949
58,-7.11607
59,-7.43673
60,-7.40321
61,-7.05884
62,-6.93599
63,-6.70836
64,-6.99467
65,-6.76652
66,-6.65507
67,-7.89217
68,-7.6459
69,-7.07704
70,-7.50699
71,-6.88033
72,-7.85062
73,-7.23064
74,-7.54983
75,-7.42778
76,-7.23866
77,-7.51055
78,-8.12765
79,-7.54755
80,-7.32309
81,-7.60595
82,-7.20961
83,-7.30285
84,-7.3125
85,-6.94433
86,-7.08878
87,-7.88359
88,-7.67002
89,-6.85372
90,-7.61369
91,-7.04535
92,-7.75916
93,-7.70784
94,-7.3654
95,-8.20883
96,-7.62304
97,-7.86161
98,-7.94236
99,-7.37964
100,-7.6472
101,-7.30573
102,-6.80863
103,-7.44953
104,-7.70292
105,-8.06604
106,-7.16599
107,-7.42118
108,-7.02724
109,-7.03167
110,-7.24473
111,-7.73269
112,-7.37049
113,-7.31285
114,-6.79909
115,-7.04138
116,-7.51381
117,-7.17652
118,-7.20802
119,-7.08806
120,-7.65759
121,-7.6269
122,-8.5515
123,-7.09177
124,-7.90099
125,-7.86664
126,-7.20522
127,-7.56666
128,-7.68062
129,-7.40871
130,-8.13718
131,-7.63167
132,-7.20413
133,-7.89684
134,-6.92356
135,-7.43379
136,-7.85294
137,-7.10467
138,-7.42828
139,-7.25235
140,-7.36714
141,-8.05922
142,-7.53847
143,-7.31296
144,-7.99687
145,-7.75641
146,-7.63215
147,-7.83886
148,-7.26344
149,-7.92663
150,-7.99938
151,-7.67509
152,-8.16926
153,-7.4815
154,-8.16479
155,-7.74633
156,-8.33776
157,-8.27558
158,-7.68638
159,-7.47821
160,-7.88223
161,-8.05813
162,-7.9511
163,-8.11063
164,-7.79429
165,-8.29889
166,-7.27277
167,-8.17361
168,-7.7344
169,-7.57378
170,-7.84915
171,-8.11742
172,-7.81858
173,-7.86207
174,-7.49668
175,-7.29754
176,-6.81978
177,-7.89342
178,-7.58659
179,-7.56995
