Frame,RMSD_dock
0,1.5188555
1,0.7297885
2,0.95834637
3,1.7232426
4,2.3064528
5,2.0413904
6,2.0040565
7,2.0772836
8,2.4372826
9,2.8388596
10,3.7530656
11,2.7674494
12,3.0275788
13,2.4751356
14,2.339143
15,2.2256916
16,1.9394542
17,2.0041559
18,1.8534931
19,2.4959571
20,1.7109851
21,1.95489
22,2.1132998
23,2.0882719
24,2.1499014
25,2.8230383
26,2.2507093
27,2.1665766
28,2.461599
29,2.397637
30,2.1088812
31,2.475228
32,1.7037184
33,1.8268224
34,2.4762928
35,2.3318803
36,1.926492
37,2.7279189
38,2.3099263
39,2.2904162
40,2.3222187
41,2.243231
42,2.5410728
43,2.4411488
44,2.199526
45,2.2042444
46,2.1136994
47,2.336424
48,2.8325598
49,2.0502024
50,2.5118258
51,2.116513
52,1.9946729
53,2.3127906
54,2.0586078
55,2.0466127
56,1.7833375
57,2.1911654
58,2.500008
59,2.6377444
60,2.4623544
61,3.0985675
62,2.7007782
63,2.1959412
64,2.1306336
65,2.7159352
66,2.6288822
67,2.9253256
68,2.8262277
69,2.8621745
70,2.4504638
71,3.2318373
72,2.6737835
73,2.9243805
74,2.6821816
75,2.4428716
76,2.8473537
77,2.403029
78,2.5897865
79,2.7466156
80,2.0983646
81,2.283247
82,2.938023
83,2.3730996
84,2.9629781
85,3.0639627
86,2.4521015
87,2.565546
88,2.4499078
89,2.5914962
90,3.1161575
91,2.9556904
92,3.18698
93,2.4113917
94,2.9455218
95,2.4353309
96,2.5446208
97,2.4868624
98,2.5384533
99,2.9135232
100,2.695027
101,2.7194912
102,2.5383725
103,2.515378
104,2.7973773
105,3.2134497
106,2.3731623
107,2.7749019
108,2.6959217
109,2.8849447
110,1.5912488
111,2.2913268
112,1.7941933
113,1.4245143
114,2.7158887
115,2.867146
116,2.7514613
117,1.8816792
118,2.5407264
119,2.9426517
120,2.4647045
121,2.7959633
122,2.4569018
123,2.6021926
124,3.0322003
125,2.2560873
126,2.636894
127,2.381897
128,2.7678213
129,2.9706483
130,2.7888432
131,2.7774208
132,2.7833216
133,2.6569757
134,2.5579588
135,2.0829694
136,3.2013786
137,2.3027961
138,2.833376
139,2.9254844
140,3.2702975
141,2.847476
142,2.71337
143,3.3019192
144,2.937055
145,2.9329033
146,2.6535814
147,2.916882
148,3.1294506
149,2.6938295
150,2.5795019
151,3.2008092
152,2.7527895
153,2.719422
154,2.4516144
155,3.0282302
156,3.0649164
157,2.7382877
158,2.6370041
159,2.9544935
