Frame,RMSD_noFit_frame0
405,2.1259418
406,1.641051
407,1.7548927
408,1.6016042
409,1.4822856
410,2.2075326
411,1.9837296
412,2.3599055
413,1.5205492
414,1.6040984
415,1.9928317
416,2.441188
417,2.0792112
418,1.557858
419,1.7743838
420,1.7982582
421,1.8144156
422,1.8111033
423,1.8421838
424,1.945916
425,1.8807002
426,2.2811813
427,2.0441833
428,1.8721746
429,2.1334999
430,1.9780825
431,1.474956
432,1.550615
433,1.8838059
434,1.9553493
435,2.1659865
436,1.8758951
437,1.63453
438,1.9994398
439,1.5031054
440,1.3044761
441,1.5210074
442,1.5019338
443,2.0626173
444,1.4555788
445,1.6842377
446,2.2448354
447,1.7313908
448,2.114325
449,1.6983268
450,1.4930153
451,1.9012439
452,1.7428893
453,1.7678431
454,1.7149566
455,1.6168021
456,2.017686
457,2.171989
458,2.0837567
459,1.932556
460,2.008133
461,1.9219241
462,2.4573226
463,1.9314233
464,2.0279813
465,2.549684
466,2.0142915
467,1.8962449
468,1.9639201
469,1.6501967
470,1.9469783
471,2.0409636
472,2.08004
473,1.9258593
474,1.9993632
475,1.3115995
476,1.3033621
477,2.160063
478,2.3440983
479,1.6105715
480,2.1359527
481,2.1392925
482,1.7837876
483,1.3479259
484,2.2206864
485,2.4924011
486,2.4953725
487,2.1277797
488,2.0071013
489,1.9359437
490,1.8256209
491,1.7867018
492,1.6864518
493,2.2181304
494,1.9416889
495,1.6711061
496,1.8999627
497,1.7543279
498,1.135592
499,1.6381465
500,1.6157037
501,1.7304773
502,1.8303344
503,1.8303932
504,1.6459174
505,1.5179065
506,1.3036584
507,1.6629509
508,1.6688995
509,1.6270207
510,1.6732603
511,1.5795021
512,1.5319256
513,1.6528258
514,1.7143027
515,1.8012816
516,1.8445773
517,2.0083535
518,1.9286478
519,1.8280442
520,1.3707293
521,1.7029257
522,1.6058859
523,1.5294901
524,1.9074415
525,1.6547626
526,1.7002623
527,1.4565834
528,1.4507561
529,1.7143687
530,1.4597586
531,1.598573
532,1.6217818
533,1.7523814
534,1.4555069
535,1.8681561
536,1.7958505
537,2.0685956
538,1.8518257
539,1.9945011
540,2.3262398
541,1.5740575
542,1.8241374
543,2.2146604
544,1.8530964
545,2.0699744
546,1.8379526
547,2.0271497
548,1.4622589
549,1.7917416
550,2.0373127
551,2.004101
552,1.657475
553,1.7770028
554,1.8632121
555,1.9450719
556,1.727062
557,1.8834248
558,1.7259538
559,2.230397
560,1.9721521
561,2.090504
562,2.4010227
563,2.0470862
564,1.8098836
565,1.9343021
566,1.8458766
567,2.2252345
568,2.2728307
569,2.0136383
570,1.7535555
571,1.8072168
572,1.7851709
573,1.9508582
574,2.2371273
575,1.6471224
576,1.9354893
577,1.6451634
578,1.750455
579,1.5596309
580,2.1047814
581,2.1971207
582,1.900964
583,2.1523561
584,2.3378313
585,1.9147422
586,1.662345
587,1.6834389
588,2.366539
589,2.2298732
590,1.9586008
591,1.2295232
592,1.8109896
593,1.8350661
594,1.5123445
595,2.1014786
596,1.6908015
597,2.1349423
598,1.9698673
599,1.9318851
600,1.8337524
601,1.6848114
602,1.9601264
603,1.7694708
604,1.7555051
605,1.3976966
606,1.6483172
607,1.190548
608,1.8834515
609,1.9852057
610,1.7743493
611,1.6867287
612,1.837262
613,2.0114493
614,1.7076434
615,1.881924
616,1.8128071
617,1.6057467
618,1.7072399
619,1.925785
620,2.0715547
621,1.5934956
622,1.886288
623,1.7688076
624,2.2398057
625,1.8769294
626,1.8963375
627,2.0840058
628,2.1381102
629,1.9671164
630,1.6208876
631,1.5583526
632,1.5874486
633,1.629187
634,1.875705
635,1.6292384
636,1.5372229
637,1.6260841
638,1.5570832
639,1.9872591
640,1.6729567
641,1.5935878
642,1.7132438
643,1.4018809
644,1.5941373
645,1.6276132
646,1.5697747
647,1.9508154
648,1.7258078
649,1.7292047
650,1.8686454
651,1.483411
652,1.5231152
653,1.6392236
654,1.7861352
655,1.5539525
656,1.7354263
657,1.856964
658,1.542139
659,1.6872265
660,1.9705979
661,1.915421
662,1.8793148
663,1.8594165
664,1.7611219
665,1.6315211
666,1.8868539
667,1.7185303
668,1.9621875
669,1.8384672
670,1.8035845
671,1.9168425
672,1.7407186
673,1.7762433
674,1.5495613
675,1.6768957
676,1.9997952
677,1.311518
678,1.8141023
679,1.7023292
680,1.7992629
681,2.0329564
682,1.8225179
683,2.0616918
684,1.7677463
685,2.0691857
686,1.7758013
687,1.5971206
688,1.8396629
689,1.704475
690,1.9137646
691,1.765382
692,1.6168313
693,1.9003766
694,1.5793265
695,2.1626282
696,1.890021
697,1.7181612
698,2.0908504
699,1.652683
700,1.5275843
701,2.0648954
702,1.7213483
703,1.8371911
704,1.5020332
705,1.8943402
706,1.745682
707,1.9191474
708,2.3025727
709,1.9712172
710,1.8097765
711,1.757587
712,1.9423752
713,1.9295329
714,1.9378029
715,2.0324957
716,1.5739236
717,1.8296283
718,1.7543191
719,1.9128103
720,1.7935542
721,1.6631359
722,1.9352279
723,1.7310303
724,2.2661593
725,1.9019861
726,1.9815627
727,2.1247609
728,1.5225321
729,1.6657268
730,1.8874876
731,1.8446923
732,1.447522
733,2.0366106
734,1.8611298
735,1.8833979
736,1.7358742
737,1.9991795
738,1.7766051
739,1.8332502
740,2.005216
741,1.7231946
742,1.5452999
743,1.6153897
744,1.4700372
745,1.8119587
746,1.9845282
747,1.5717111
748,1.8276163
749,1.3325652
750,1.9249933
751,1.780955
752,1.7552633
753,1.6362996
754,1.8139212
755,1.8028378
756,1.8176563
757,1.7468607
758,1.6723856
759,1.599494
760,1.5318433
761,1.5049441
762,1.4570855
763,1.5945326
764,1.8329158
765,1.78603
766,1.8272958
767,1.9728279
768,1.8262008
769,1.829755
770,1.6218429
771,1.5033689
772,1.7944163
773,1.8369148
774,1.8813305
775,1.879331
776,1.9186597
777,1.82174
778,1.829421
779,1.8540679
780,1.8616065
781,1.8477385
782,1.9598826
783,1.9242206
784,2.1394627
785,1.6287346
786,2.0511189
787,2.0141566
788,1.9113523
789,2.154064
790,1.6258031
791,1.6183072
792,1.7255863
793,1.6772066
794,1.5792282
795,1.7034101
796,1.7274716
797,1.8527312
798,2.2214549
799,1.9235072
800,1.7921991
801,1.874689
802,1.9617063
803,1.953532
804,1.8714808
805,2.2281685
806,1.9017457
807,2.2868917
808,1.7795078
809,1.9373987
810,2.1414776
811,1.8019203
812,1.952522
813,1.7210903
814,2.0928695
815,1.9147886
816,2.205842
817,1.6859163
818,2.0148659
819,1.8913503
820,2.0697925
821,1.9505261
822,2.1218011
823,2.2687309
824,1.9325339
825,2.2920246
826,2.0887997
827,2.3273754
828,2.251987
829,2.283713
830,1.9227763
831,2.175639
832,2.031759
833,1.9428185
834,2.1069613
835,1.9135813
836,2.47316
837,1.8651502
838,2.3234298
839,1.6304654
840,1.7291864
841,1.9324958
842,1.8764752
843,1.8329803
844,1.7094688
845,1.8419405
846,2.4600694
847,1.7004201
848,2.105405
849,2.0121856
850,1.7572742
851,2.0426087
852,2.2024102
853,1.8482319
854,1.8981543
855,2.0133166
856,1.5542034
857,1.6583229
858,1.5539293
859,1.6772989
860,1.680059
861,1.399078
862,1.8648627
863,1.9462576
864,1.4755427
865,1.4969171
866,1.7769624
867,1.8467627
868,1.756884
869,1.491273
870,1.6945173
871,1.939347
872,1.8680004
873,1.9770699
874,1.4398427
875,1.3487655
876,1.6318355
877,1.659968
878,1.3316239
879,1.2455472
880,2.0636141
881,0.87715065
882,1.2414994
883,0.8059331
884,1.9367102
885,1.6343216
886,1.2679584
887,1.6413182
888,1.1321846
889,1.7767663
890,1.7299443
891,1.2591741
892,1.5419215
893,1.9173032
894,1.0670568
895,1.3856341
896,1.9528782
897,1.8491201
898,1.6335752
899,2.2987814
900,1.3057747
901,1.8155463
902,2.1434412
903,2.0502272
904,1.730531
905,1.4870801
906,1.8436148
907,2.2463222
908,2.1482675
909,1.653391
910,2.1302333
911,1.686124
912,1.7934278
913,1.5311601
914,1.8579116
915,1.8457512
916,1.6136091
917,1.6978166
918,1.4362817
919,1.4593133
920,1.862347
921,2.2625525
922,1.8331127
923,1.7393962
924,1.9135625
925,2.1480744
926,2.0512633
927,2.0047357
928,1.6327173
929,1.8909631
930,1.819583
931,1.4463409
932,1.9373784
933,1.8207132
934,2.6341362
935,1.986922
936,1.5064591
937,1.6209632
938,1.2714783
939,1.4667363
940,1.0330346
941,1.6976373
942,1.4792514
943,1.721429
944,1.4358605
945,1.5451709
946,1.9746895
947,1.8113648
948,1.6847278
949,1.7456183
950,2.221741
951,1.3557076
952,1.6434639
953,1.5602205
954,1.1710505
955,1.4944272
956,1.9859215
957,1.4674491
958,1.580116
959,1.4631144
960,2.2321045
961,1.570182
962,1.7937515
963,1.9250482
964,2.3493273
965,2.0381985
966,1.9203701
967,1.7659467
968,2.1584415
969,2.128536
970,1.8578467
971,1.5235715
972,1.7264603
973,1.6997594
974,1.5592921
975,1.6741729
976,2.263325
977,1.5898759
978,1.6412009
979,1.7303512
980,1.8479459
981,1.9946655
982,2.1552517
983,1.7375801
984,2.1516373
