Time (ns),RMSD (Å)
0.0,0.0004940984870616008
0.1,0.26107305484216176
0.2,0.5001695825799839
0.30000000000000004,0.562350280311985
0.4,0.4357026813856925
0.5,0.51984397304797
0.6000000000000001,0.3308760687523279
0.7000000000000001,0.28105089943165146
0.8,0.3743136684518985
0.9,0.3206314234377623
1.0,0.32830645214678994
1.1,0.585582746673176
1.2000000000000002,0.45790597680184414
1.3,0.6479721199754556
1.4000000000000001,0.5900305595505876
1.5,0.4360200076315187
1.6,0.214322691582526
1.7000000000000002,0.46437633819942753
1.8,0.5492107219137919
1.9000000000000001,0.4792359187159979
2.0,0.3647389251690555
2.1,0.6956120970643105
2.2,0.5609907303132668
2.3000000000000003,0.4892241194098827
2.4000000000000004,0.5011468916662655
2.5,0.32581327732962234
2.6,0.4462495817245324
2.7,0.4272865798672884
2.8000000000000003,0.6274370461837296
2.9000000000000004,0.27754062929619155
3.0,0.4768346296524199
3.1,0.3754220160750295
3.2,0.4768441082934072
3.3000000000000003,0.44884916897398686
3.4000000000000004,0.8751904182009498
3.5,0.9011996383759814
3.6,0.7908479186339293
3.7,0.9461550778521262
3.8000000000000003,0.9059018302056244
3.9000000000000004,0.9055486113437549
4.0,0.8421737229958985
4.1000000000000005,0.9340507125351921
4.2,0.9096654450701493
4.3,1.0508366202213837
4.4,1.0783184793387557
4.5,1.004027710068213
4.6000000000000005,0.8391133876482256
4.7,0.717582281026494
4.800000000000001,0.7627552764968982
4.9,0.7283663860130508
5.0,1.0401040091802876
5.1000000000000005,1.0236194795787368
5.2,1.1654029450427428
5.300000000000001,0.8559688149860953
5.4,1.0960256158592183
5.5,1.2245949562337042
5.6000000000000005,1.0498815527105896
5.7,0.8501798593860681
5.800000000000001,1.1976282979564907
5.9,1.0784828562238569
6.0,1.1219306650467076
6.1000000000000005,1.220649903531658
6.2,1.2507381887292415
6.300000000000001,1.2440708800376397
6.4,1.11627974159351
6.5,1.1262050635588017
6.6000000000000005,1.1842646694230967
6.7,1.0565856805631124
6.800000000000001,1.244891020240531
6.9,1.122026408895306
7.0,1.085150000851145
7.1000000000000005,1.1704588485175698
7.2,1.0641820064499266
7.300000000000001,1.052818212195327
7.4,1.1588978615399848
7.5,1.218084406047623
7.6000000000000005,1.1752872939194776
